,names,managers,addresses,types,urls,phones,被保険者数,登記注意事項,lat,lon
116,合同会社ジュンサンカ,-,足立区保木間１丁目９番４号,-,-,-,,,35.790538,139.806494
117,一般社団法人幸せ相続相談所,-,足立区島根３丁目９番５−１０２号,-,-,-,,,35.779603,139.794499
118,株式会社トミカ,-,足立区千住４丁目１番９号,不動産、レンタル・リース,-,-,1,,35.753395,139.803278
119,株式会社アンド・ライフ,-,足立区保木間４丁目４番３号,-,-,-,,,35.798723,139.805974
120,株式会社ＩＶＩ,-,足立区江北１丁目２５番１８号,建設,-,-,3,,35.769804,139.768329
121,株式会社敬東商事,-,足立区梅田７丁目３４番１３号,-,-,-,,,35.769553,139.800673
122,陽光株式会社,-,足立区綾瀬４丁目１９番１５−２０２号,情報・通信,-,-,1,,35.765351,139.822318
123,株式会社ＧＯＬＫＡＮＯ．,-,足立区六町４丁目４−３５サンライズ六町１００１号,-,-,-,1,,35.785655,139.822972
124,株式会社グローバルフォース,-,足立区西竹の塚２丁目４番４号１−１１２号室,-,-,-,0,,35.796069,139.789875
125,ファースト物流株式会社,安藤裕一郎,足立区入谷５丁目１５番２０号,運輸・倉庫関連,https://www.first-log.net,03-3768-4319,15,,35.803842,139.762302
126,アドバンスＫ＆Ｂファーム株式会社,-,足立区弘道１丁目１４番１０号,商社,-,-,,,35.768519,139.812339
127,株式会社ファミリーテック,-,足立区大谷田４丁目１番２０号,-,-,-,6,,35.778912,139.838128
128,ＣＰＭ株式会社,-,足立区西新井１丁目２５−３−２０４号,-,-,-,,,35.78031,139.781021
129,株式会社ｓｅｅＤＮＡ,金起範,足立区竹の塚３丁目１０−１竹の塚ビル２Ｆ,サービス,https://seedna.co.jp/,-,20,,35.790758,139.800143
130,ＣＬ株式会社,-,足立区千住宮元町２０番９号,情報・通信,-,-,,,35.746798,139.796199
131,有限会社上沼商事,-,足立区入谷４丁目６番１−６０１号,-,-,-,1,,35.806246,139.761221
133,株式会社ＥＮ　ｄｅｓｉｇｎ,-,足立区綾瀬１丁目４番３号,サービス,-,-,0,,35.758847,139.822005
134,株式会社スマートアセットマネジメント,高見英治,足立区南花畑３丁目３５番１４号フラワーヒルズ１０３号,-,http://best-pln.com/top.php,-,,,35.792441,139.824996
136,株式会社マイキーズ＆チャンクス,-,足立区千住旭町９番１３号タカラマンション２０７,サービス,http://www.mikeysandchunks.com/companyprofile.html,-,1,,35.748874,139.80716
137,株式会社スプリング,-,足立区千住寿町８番７号１０２,医療・福祉,-,-,,,35.753088,139.799171
138,アールツーエイチエー株式会社,-,足立区江北３丁目２２番２５号,-,-,-,,,35.774461,139.761223
139,株式会社北村,-,足立区保木間５丁目１番１号第１２新井ビル３０１号室,情報・通信,-,-,1,,35.80436,139.803197
140,ＣＭＳ　ＪＡＰＡＮ株式会社,-,足立区谷中１丁目１８番１４,-,-,-,,,35.77249,139.832129
141,凱詰株式会社,-,足立区竹の塚２丁目２９番１２号２階,-,-,-,,,35.791029,139.795441
142,株式会社遠,-,足立区扇１丁目４番１４号,-,-,-,,,35.762366,139.774261
143,有限会社リングッド,-,足立区大谷田５丁目３０番１号,-,-,-,1,,35.78373,139.839345
144,有限会社チーム・スパイラル,-,足立区梅島３丁目３２番２５−９０９号,情報・通信,-,-,,,35.775806,139.794888
145,有限会社ＡＲＣＴＩＣ,-,足立区西新井栄町２丁目１８番１６号,-,-,-,,,35.7766,139.788031
146,有限会社アイ・ティ・シー,-,足立区新田１丁目１７番７−８０４号,-,-,-,,,35.777123,139.740471
147,一般社団法人企業主導型保育連盟,-,足立区南花畑２丁目１５番１７号,-,-,-,,,35.790927,139.819521
148,五菱企画株式会社,-,足立区梅田４丁目３９番２６号,建設,-,-,,,35.762929,139.793216
149,朝日テスコム株式会社,三枝健一,足立区綾瀬２丁目３番１０号ホワイトシティ１０１,建設,-,03-3202-0192,2,,35.759926,139.828332
150,株式会社フィッツ,-,足立区北加平町六丁目６番,建設,-,-,0,,35.784064,139.828437
151,株式会社大成トレーディング,-,足立区関原１丁目３−２,-,-,-,,,35.761855,139.789455
152,株式会社ＪＨ企画,-,足立区六木３丁目１７番１０号,-,-,-,,,35.797245,139.842774
153,株式会社出口商事,-,足立区本木１丁目２６番４号,-,-,-,10,,35.761206,139.785729
