,事業所名,郵便番号,住所,代表者,従業員数,ツクリンクURL,Webサイト
3322,マルイ設備（株）,121-0824,東京都足立区西伊興１−１−２４,本多 昌明,40,https://tsukulink.net/tokyo/city_131211/286957,
3323,荻原建設工業（株）,121-0831,東京都足立区舎人１−２０−６,荻原 好之,40,https://tsukulink.net/tokyo/city_131211/286953,
3324,明和設備（株）,120-0037,東京都足立区千住河原町２６−１２,白井 康友,40,https://tsukulink.net/tokyo/city_131211/286936,
3325,（株）林工業,121-0062,東京都足立区南花畑２−３−４,林 輝沢,40,https://tsukulink.net/tokyo/city_131211/286931,
3326,東京エンジニアリング（株）,123-0842,東京都足立区栗原３−１８−１３,金井 隆,40,https://tsukulink.net/tokyo/city_131211/286929,
3327,三栄工業（株）,121-0051,東京都足立区神明２−８−２５,岩渕 亮次,40,https://tsukulink.net/tokyo/city_131211/286927,
3328,（株）横山工務店,121-0823,東京都足立区伊興５−２１−１６,横山 政雄,40,https://tsukulink.net/tokyo/city_131211/286899,
3329,（有）赤間塗装店,120-0003,東京都足立区東和４−２３−１２,赤間 義則,40,https://tsukulink.net/tokyo/city_131211/286888,
3330,（株）マルゼン,121-0011,東京都足立区中央本町３−９−１５,吉村 光司,40,https://tsukulink.net/tokyo/city_131211/286861,
3331,斎木水道工業（株）,123-0852,東京都足立区関原３−４−３,斎木 俊彦,40,https://tsukulink.net/tokyo/city_131211/286835,
3332,岡田産業（株）,121-0052,東京都足立区六木１−１６−１０,岡田 富洋,40,https://tsukulink.net/tokyo/city_131211/286806,
3333,（株）光栄産業,121-0053,東京都足立区佐野１−１１−７,上遠野 清美,40,https://tsukulink.net/tokyo/city_131211/286803,
3334,（株）宮本測量,120-0034,東京都足立区千住４−９−３セザール北千住１１０３,酒井 弘,40,https://tsukulink.net/tokyo/city_131211/286790,
3335,（有）山興,123-0841,東京都足立区西新井３−３−１０,山本 武司,40,https://tsukulink.net/tokyo/city_131211/286781,
3336,（有）飯島電研,120-0001,東京都足立区大谷田１−６−２,飯島 正昭,40,https://tsukulink.net/tokyo/city_131211/286773,
3337,綾瀬管工（株）,120-0005,東京都足立区綾瀬６−２８−８,山下 政治,40,https://tsukulink.net/tokyo/city_131211/286737,
3338,（株）渡辺熱理興業,123-0864,東京都足立区鹿浜３−２９−１１,渡辺 加寿子,40,https://tsukulink.net/tokyo/city_131211/286718,
3339,杉山工業（株）,120-0006,東京都足立区谷中４−１３−２,杉山 弘,40,https://tsukulink.net/tokyo/city_131211/286716,
3340,（株）菅沼電機商会,123-0851,東京都足立区梅田７−２１−１０,菅沼 康,40,https://tsukulink.net/tokyo/city_131211/286696,
3341,（株）アールピーアール,123-0872,東京都足立区江北６−７−５,関口 憲,40,https://tsukulink.net/tokyo/city_131211/286695,
3342,春日解体工業（株）,123-0851,東京都足立区梅田７−１５−４梅島コーポ１０１号,昌本 英明,40,https://tsukulink.net/tokyo/city_131211/286627,
3343,（株）森栄工業所,121-0075,東京都足立区一ッ家３−５−２４,森塚 和成,40,https://tsukulink.net/tokyo/city_131211/286625,
3344,足立通信工業（株）,120-0034,東京都足立区千住１−１１−２,藤原 永嗣,40,https://tsukulink.net/tokyo/city_131211/286620,
3345,（有）丸光電気工業所,121-0052,東京都足立区六木４−６−４,穴澤 知大,40,https://tsukulink.net/tokyo/city_131211/286566,
3346,（有）葉月通信工事,121-0812,東京都足立区西保木間１ー２０ー２４ー１０２,森田 紀代四,40,https://tsukulink.net/tokyo/city_131211/286547,
3347,（株）馬場瓦店,120-0003,東京都足立区東和３−９−１４,馬場 多津雄,40,https://tsukulink.net/tokyo/city_131211/286520,
3348,（有）興隆社,121-0815,東京都足立区島根２−１９−２４,吉野 雄介,40,https://tsukulink.net/tokyo/city_131211/286472,
3349,（有）オフィス江川,120-0013,東京都足立区弘道２−６−９,米澤 春代,40,https://tsukulink.net/tokyo/city_131211/286459,
3350,（有）田原建装,121-0064,東京都足立区保木間５−４−５,田原春 修,40,https://tsukulink.net/tokyo/city_131211/286453,
3351,（株）トキオプラスワン,120-0003,東京都足立区東和５−３−７,矢野 正俊,40,https://tsukulink.net/tokyo/city_131211/286451,
3352,（株）グローバルコミュニケーションズ,123-0842,東京都足立区栗原３−２０−３,芳賀 勇,40,https://tsukulink.net/tokyo/city_131211/286419,
3353,東都鉄工（株）,121-0061,東京都足立区花畑４−１４−４,金子 盾域,40,https://tsukulink.net/tokyo/city_131211/286381,
3354,（有）楠の木,123-0862,東京都足立区皿沼３−２３−９,呉 京信,40,https://tsukulink.net/tokyo/city_131211/286339,
3355,（有）鳶斉藤,121-0836,東京都足立区入谷２−１１−５,齋藤 新二,40,https://tsukulink.net/tokyo/city_131211/286317,
3356,ＲＯＤＥＯ（株）,121-0052,東京都足立区六木１−２−１０,伊賀 吉春,40,https://tsukulink.net/tokyo/city_131211/286297,
3357,（株）森川,121-0055,東京都足立区加平２−１６−１３,森川 弘一,40,https://tsukulink.net/tokyo/city_131211/286291,
3358,（有）東京外装,120-0012,東京都足立区青井３−７−２５,日下 竜次,40,https://tsukulink.net/tokyo/city_131211/286285,
3359,（株）ウィード・ネット,120-0001,東京都足立区大谷田４−７−４−１０１,鈴木 輝彦,40,https://tsukulink.net/tokyo/city_131211/286282,
3360,（株）鳶もちき,123-0854,東京都足立区本木東町２２−１,持木 則明,40,https://tsukulink.net/tokyo/city_131211/286266,
3361,（株）三喜,121-0816,東京都足立区梅島１−４−１９,津田 啓喜,40,https://tsukulink.net/tokyo/city_131211/286261,
3362,（有）ｔａｋｅｉｎ,121-0813,東京都足立区竹の塚１−１２−２,早川 豪將,40,https://tsukulink.net/tokyo/city_131211/286215,
3363,（有）成宝建設,121-0071,東京都足立区東六月町４−１１ドミールエイタイ２０３,村岡 詔八,40,https://tsukulink.net/tokyo/city_131211/286197,
3364,（有）アイダ工業,123-0851,東京都足立区梅田７−２５−１３−１０６,藍田 晴義,40,https://tsukulink.net/tokyo/city_131211/286170,
3365,御園生興業（株）,121-0063,東京都足立区東保木間１−１３−１４,御園生 憲良,40,https://tsukulink.net/tokyo/city_131211/286144,
3366,（有）エス・ビー・エス,120-0038,東京都足立区千住橋戸町４７,宮本 厚,40,https://tsukulink.net/tokyo/city_131211/286140,
3367,（有）Ｋ・Ｊ・Ｙ,121-0824,東京都足立区舎人２−１３−２０,藤平 浩一,40,https://tsukulink.net/tokyo/city_131211/286131,
3368,（有）匠・林工務店,120-0002,東京都足立区中川１−６−５,林 牧人,40,https://tsukulink.net/tokyo/city_131211/286128,
3369,（有）弓削土木,123-0841,東京都足立区西新井２−５−３−７０５,波上 正溥,40,https://tsukulink.net/tokyo/city_131211/286073,
3370,（株）岡崎店装,123-0873,東京都足立区扇２−１３−３３,岡崎 敏弘,40,https://tsukulink.net/tokyo/city_131211/286066,
3371,（有）土屋鳶工業,123-0852,東京都足立区関原２−４８−２,土屋 治,40,https://tsukulink.net/tokyo/city_131211/286058,
3372,（株）日本線路技術,120-0026,東京都足立区千住旭町４２−３,内田 雅夫,40,https://tsukulink.net/tokyo/city_131211/286040,
3373,（株）オー・ティ・エス,120-0005,東京都足立区綾瀬２−１３−１１第８７新井ビル７Ｆ,坂本 一彦,40,https://tsukulink.net/tokyo/city_131211/286020,
3374,浅香電業（株）,123-0841,東京都足立区西新井４−４２−５,浅香 謙治,40,https://tsukulink.net/tokyo/city_131211/285995,
3375,（資）坂商,120-0034,東京都足立区千住１−１０−３,坂 種治,40,https://tsukulink.net/tokyo/city_131211/283477,
3376,（有）優和空調,121-0836,東京都足立区入谷８−９−１９,井貝 利明,40,https://tsukulink.net/tokyo/city_131211/283453,
3377,（株）呉竹造園,121-0831,東京都足立区舎人５−１４−１４,田村 農,40,https://tsukulink.net/tokyo/city_131211/283452,
3378,（株）浮田設備,121-0813,東京都足立区竹の塚２−２２−１０,浮田 幸栄,40,https://tsukulink.net/tokyo/city_131211/283430,
3379,地建総業（株）,121-0073,東京都足立区六町１−１３−５,菊池 則夫,40,https://tsukulink.net/tokyo/city_131211/283352,
3380,（株）サンケイ,123-0841,東京都足立区西新井５−６−６,横内 誠,40,https://tsukulink.net/tokyo/city_131211/283350,
3381,（有）上田造園,120-0031,東京都足立区千住大川町１１−４,上田 米一,40,https://tsukulink.net/tokyo/city_131211/283348,
3382,（株）青木工業所,121-0056,東京都足立区北加平町２０−５,青木 竜一,40,https://tsukulink.net/tokyo/city_131211/283291,
3383,（有）鍵山設備,121-0812,東京都足立区西保木間２−４−１２,鍵山 俊夫,40,https://tsukulink.net/tokyo/city_131211/283265,
3384,（株）花泉電工,121-0061,東京都足立区花畑２−６−２３,菅原 敬一郎,40,https://tsukulink.net/tokyo/city_131211/283257,
3385,浅香園芸（株）,123-0861,東京都足立区加賀２−７−６,浅香 雅和,40,https://tsukulink.net/tokyo/city_131211/283239,
3386,イズミ産業（株）,120-0005,東京都足立区綾瀬４−１１−８,鹿住 裕,40,https://tsukulink.net/tokyo/city_131211/283208,
3387,（株）内国工事,120-0037,東京都足立区千住河原町９−２,内田 武,40,https://tsukulink.net/tokyo/city_131211/283139,
3388,渡部興業（株）,120-0005,東京都足立区綾瀬７−１１−７,渡部 順一,40,https://tsukulink.net/tokyo/city_131211/283112,
3389,（株）和光建装,120-0037,東京都足立区千住河原町２１−４,松井 元,40,https://tsukulink.net/tokyo/city_131211/283104,
3390,（有）菅野電設,123-0853,東京都足立区本木１−２６−１１,菅野 俊規,40,https://tsukulink.net/tokyo/city_131211/283103,
3391,伊奈電設（株）,121-0062,東京都足立区南花畑３−１５−２０,秋元 久,40,https://tsukulink.net/tokyo/city_131211/283091,
3392,（株）江北重機運輸,123-0864,東京都足立区鹿浜１−１７−４,中澤 行雄,40,https://tsukulink.net/tokyo/city_131211/283068,
3393,新ミナ卜工業（株）,120-0013,東京都足立区弘道１−３１−１０,伊藤 竜広,40,https://tsukulink.net/tokyo/city_131211/283057,
3394,成興物産（株）,121-0801,東京都足立区東伊興３−２４−２２,寺沢 浩次,40,https://tsukulink.net/tokyo/city_131211/283014,
3395,（株）ＴＯＹＯ,123-0843,東京都足立区西新井栄町３−２−８,毛利 正治,40,https://tsukulink.net/tokyo/city_131211/283008,
3396,（株）阿部商店,120-0022,東京都足立区柳原１−３４−１５,阿部 好崇,40,https://tsukulink.net/tokyo/city_131211/283004,
3397,（株）前島植物園 東京支店,121-0801,東京都足立区東伊興２−１７−８,前島 孝司,40,https://tsukulink.net/tokyo/city_131211/281412,
3398,ワールド冷熱（株）,121-0824,東京都足立区西伊興２−６−８,岩田 國敏,40,https://tsukulink.net/tokyo/city_131211/279971,
3399,（有）土井工務店,123-0865,東京都足立区新田３−３１−１２,土井 正義,40,https://tsukulink.net/tokyo/city_131211/279968,
3400,（株）上原興業,121-0813,東京都足立区竹の塚１−３３−８−６０２,上原 承秀,40,https://tsukulink.net/tokyo/city_131211/279956,
3401,（有）ダイマサ,123-0873,東京都足立区扇３−１６−１７,大堂 政春,40,https://tsukulink.net/tokyo/city_131211/279950,
3402,（株）富士峰興業,123-0845,東京都足立区西新井本町３−９−１０,鈴木 峰造,40,https://tsukulink.net/tokyo/city_131211/279877,
3403,コーシン電機（株）,120-0005,東京都足立区綾瀬２−３−８,小林 京子,40,https://tsukulink.net/tokyo/city_131211/279843,
3404,（有）ヤマフジ設備,123-0864,東京都足立区鹿浜４−２２−５,山本 弘之,40,https://tsukulink.net/tokyo/city_131211/279813,
3405,小春スクリーン（株）,121-0064,東京都足立区保木間５−２２−１７,小野 弘,40,https://tsukulink.net/tokyo/city_131211/279805,
3406,大起建設舗道（株）,121-0061,東京都足立区花畑３−１７−２７,角元 重雄,40,https://tsukulink.net/tokyo/city_131211/279802,
3407,（株）國井建設,123-0852,東京都足立区関原２−１８−１２,國井 政道,40,https://tsukulink.net/tokyo/city_131211/279780,
3408,東新電話（株）,121-0011,東京都足立区中央本町４−１５−９−４０５,宮下 道,40,https://tsukulink.net/tokyo/city_131211/279739,
3409,（株）ユウト建設,121-0052,東京都足立区六木２−７−２１,會野 浩二,40,https://tsukulink.net/tokyo/city_131211/279707,
3410,藤栄冷熱工業（株）,123-0852,東京都足立区関原３−７−２１,藤巻 眞,40,https://tsukulink.net/tokyo/city_131211/279706,
3411,（有）永幸解体工業所,123-0851,東京都足立区梅田８−１３−５,神永 幸平,40,https://tsukulink.net/tokyo/city_131211/279705,
3412,（株）大歩建工,123-0861,東京都足立区加賀１−１０−２０,大塚 義恭,40,https://tsukulink.net/tokyo/city_131211/279702,
3413,（有）坂本工務店,121-0061,東京都足立区花畑２−５−２３,坂本 春雄,40,https://tsukulink.net/tokyo/city_131211/279685,
3414,（有）宇井工業,120-0003,東京都足立区東和３−８−１３,宇井 勝美,40,https://tsukulink.net/tokyo/city_131211/279667,
3415,（有）藤昭工務店,120-0041,東京都足立区千住元町２１−１,藤田 昭夫,40,https://tsukulink.net/tokyo/city_131211/279615,
3416,（有）石塚工務店,123-0862,東京都足立区皿沼３−１６−１,石塚 岩雄,40,https://tsukulink.net/tokyo/city_131211/279614,
3417,（有）ブリッジ工業,123-0851,東京都足立区梅田７ー４ー６,石橋 秀雄,40,https://tsukulink.net/tokyo/city_131211/279581,
3418,（有）菅野商工,121-0801,東京都足立区東伊興３−２２−１６,菅野 忠広,40,https://tsukulink.net/tokyo/city_131211/279578,
3419,（有）明都開発,123-0873,東京都足立区扇１−１８−１１,杉浦 登,40,https://tsukulink.net/tokyo/city_131211/279507,
3420,（有）ケーエム,123-0853,東京都足立区本木２−１０−７,諸岡 健吉,40,https://tsukulink.net/tokyo/city_131211/279503,
3421,（株）フレッシュアップ,120-0031,東京都足立区千住大川町６−１−１０５,齊藤 勝夫,40,https://tsukulink.net/tokyo/city_131211/277958,
3422,関西パテ化工（株） 東京支店,121-0813,東京都足立区竹の塚３−１４−１０,川上 好光,40,https://tsukulink.net/tokyo/city_131211/277870,
3423,（株）アシスト 東京営業所,121-0075,東京都足立区一ツ家３−１１−４,井東 博子,40,https://tsukulink.net/tokyo/city_131211/277715,
3424,（株）スタジオスペースオバマ 東京支社,120-0044,東京都足立区千住緑町２−３−１９,小濱 英隆,40,https://tsukulink.net/tokyo/city_131211/277593,
3425,（株）ナカムラ,123-0852,東京都足立区関原３−３１−９−３０１,中村 武夫,40,https://tsukulink.net/tokyo/city_131211/272958,
3426,（株）エアフロー,123-0864,東京都足立区鹿浜５−２９−１５,藤森 竜也,40,https://tsukulink.net/tokyo/city_131211/272946,
3427,（有）澤表装,121-0815,東京都足立区島根２−３−８,石澤 敏光,40,https://tsukulink.net/tokyo/city_131211/272931,
3428,（株）ハウスプラザ,120-0005,東京都足立区綾瀬４−９−３０,川瀬 英嗣,40,https://tsukulink.net/tokyo/city_131211/272927,
3429,（有）城北クリーンサービス,123-0851,東京都足立区梅田６−１５−７,川上 節子,40,https://tsukulink.net/tokyo/city_131211/272922,
3430,（株）スマート,120-0046,東京都足立区小台２−５−１−２０３,小幡 雅也,40,https://tsukulink.net/tokyo/city_131211/272899,
3431,（株）ミノタ電設,120-0034,東京都足立区千住１−７−３,箕田 昌巧,40,https://tsukulink.net/tokyo/city_131211/272855,
3432,片岡工業（株）,121-0052,東京都足立区六木３−３３−１９,片岡 寛,40,https://tsukulink.net/tokyo/city_131211/272833,
3433,（株）東洋堂ハウスＳＰ,120-0004,東京都足立区東綾瀬１−２４−１３東洋堂ハウスＳＰ第一ビル,松森 広志,40,https://tsukulink.net/tokyo/city_131211/272830,
3434,（有）稲垣内装,121-0836,東京都足立区入谷９−１８−１４,稲垣 久一,40,https://tsukulink.net/tokyo/city_131211/272823,
3435,（株）圭昇システムグループ,120-0005,東京都足立区綾瀬５−１６−６−８０３,片岡 智宏,40,https://tsukulink.net/tokyo/city_131211/272822,
3436,（株）桜井工業,121-0072,東京都足立区保塚町１２−１４,櫻井 敬之,40,https://tsukulink.net/tokyo/city_131211/272816,
3437,（有）リキスイ,120-0001,東京都足立区大谷田３−２０−５,富山 喜久,40,https://tsukulink.net/tokyo/city_131211/272810,
3438,（株）アスケン,120-0046,東京都足立区小台１−２７−１５,井上 賢一,40,https://tsukulink.net/tokyo/city_131211/272808,
3439,タカミ技研（株）,123-0872,東京都足立区江北６−２４−６,櫻井 晴子,40,https://tsukulink.net/tokyo/city_131211/272797,
3440,（有）マリモ,120-0014,東京都足立区西綾瀬３−１２−６,小堀 充治,40,https://tsukulink.net/tokyo/city_131211/272757,
3441,（有）クサジマ工業,121-0052,東京都足立区六木１−１１−７,草島 友雄,40,https://tsukulink.net/tokyo/city_131211/272751,
3442,（株）葛建,121-0824,東京都足立区西伊興４−１２−１１,葛西 浩,40,https://tsukulink.net/tokyo/city_131211/272703,
3443,（有）福島設備,121-0813,東京都足立区西竹の塚２−４−２１,福島 淳,40,https://tsukulink.net/tokyo/city_131211/272697,
3444,（株）ＳＤＲ,121-0064,東京都足立区保木間２−２２−１１,湯本 英史,40,https://tsukulink.net/tokyo/city_131211/272683,
3445,（株）ＡＰＯ,120-0001,東京都足立区大谷田３−８−８地下Ｂ号,杉山 唯,40,https://tsukulink.net/tokyo/city_131211/272674,
3446,（株）ヤマトエンジニア,121-0813,東京都足立区竹の塚５−１−１,加茂 博久,40,https://tsukulink.net/tokyo/city_131211/272581,
3447,（株）大隅蒼社,123-0873,東京都足立区扇１−３２−１６,坂下 潤一,40,https://tsukulink.net/tokyo/city_131211/272576,
3448,（株）磯野商店,123-0861,東京都足立区加賀１−１１−１１,磯野 雅弘,40,https://tsukulink.net/tokyo/city_131211/272573,
3449,前田防災管理（有）,120-0015,東京都足立区足立４−１５−１,前田 稔,40,https://tsukulink.net/tokyo/city_131211/272565,
3450,（有）ホリエ,120-0012,東京都足立区青井３−３７−１３,堀江 貞文,40,https://tsukulink.net/tokyo/city_131211/272563,
3451,（株）ポイントマーケティング,123-0864,東京都足立区鹿浜６−２２−１０,関谷 賢治,40,https://tsukulink.net/tokyo/city_131211/272550,
3452,林興業（株）,120-0003,東京都足立区東和３−１８−１１−７０３,林 涼子,40,https://tsukulink.net/tokyo/city_131211/272541,
3453,（株）ＩＤＦ,123-0853,東京都足立区本木２−９−１４,古橋 広樹,40,https://tsukulink.net/tokyo/city_131211/272522,
3454,（有）萬建装,123-0872,東京都足立区江北２−２９−４,中島 由喜,40,https://tsukulink.net/tokyo/city_131211/272516,
3455,（株）大樹エンジニア,123-0873,東京都足立区扇２−１８−１７,荒川 直樹,40,https://tsukulink.net/tokyo/city_131211/272497,
3456,（株）マノール,120-0047,東京都足立区宮城２−４−１６,矢中 光三,40,https://tsukulink.net/tokyo/city_131211/272300,
3457,文化シヤッター（株） 足立営業所,121-0823,東京都足立区伊興３−１６−２,潮崎 敏彦,40,https://tsukulink.net/tokyo/city_131211/272061,
3458,大橋エアシステム（株） 足立営業所,121-0816,東京都足立区梅島１−２５−２６,井上 久行,40,https://tsukulink.net/tokyo/city_131211/271644,
3459,足立建設工業株式会社,121-0836,東京都足立区入谷８−９−９,足立 裕介,40,https://tsukulink.net/tokyo/city_131211/9518,
3460,株式会社三浦工務店,120-0003,東京都足立区東和３−１４−２５,三浦 啓行,40,https://tsukulink.net/tokyo/city_131211/5292,
3461,株式会社浅香工業,123-0863,東京都足立区谷在家１−１６−１０,浅香 義徳,40,https://tsukulink.net/tokyo/city_131211/6057,
3462,アサヒネット工業株式会社東京支店,123-0863,東京都足立区谷在家３−５−５,羽馬 貞夫,40,https://tsukulink.net/tokyo/city_131211/716,
3463,株式会社セイワ,121-0801,東京都足立区東伊興３−１５−２４,新井 誠一,40,https://tsukulink.net/tokyo/city_131211/3431,
3464,株式会社ノリモトコーポレーション,120-0034,東京都足立区千住１−１４−１,則本 克美,40,https://tsukulink.net/tokyo/city_131211/3758,
3465,株式会社要建設,123-0845,東京都足立区西新井本町２−６−３,山崎 之,40,https://tsukulink.net/tokyo/city_131211/7237,
3466,有限会社鈴英,123-0872,東京都足立区江北７−２−７,鈴木 英之,40,https://tsukulink.net/tokyo/city_131211/14069,
3467,株式会社解良工務店,120-0004,東京都足立区東綾瀬３−１２−１４,解良 淳一,40,https://tsukulink.net/tokyo/city_131211/4634,
3468,株式会社中村建興,121-0807,東京都足立区伊興本町１−５−１７,川口 宏,40,https://tsukulink.net/tokyo/city_131211/6450,
3469,有限会社本田鉄筋工業,120-0014,東京都足立区西綾瀬１−２−２３,本田 稔,40,https://tsukulink.net/tokyo/city_131211/13988,
3470,株式会社福吉工務店,121-0053,東京都足立区佐野２−２６−１５,福吉 成美,40,https://tsukulink.net/tokyo/city_131211/7042,
3471,有限会社武藤,121-0064,東京都足立区保木間５−２４−３６,武藤 康正,40,https://tsukulink.net/tokyo/city_131211/13902,
3472,内田建設株式会社,121-0813,東京都足立区竹の塚５−６−５,内田 眞,40,https://tsukulink.net/tokyo/city_131211/10576,
3473,有限会社ケイワンエンジニアリング,120-0022,東京都足立区柳原１−２３−１０−２０１,村岡 幸吉,40,https://tsukulink.net/tokyo/city_131211/11635,
3474,株式会社竹内工務店,123-0851,東京都足立区梅田６−１３−３,竹内 章博,40,https://tsukulink.net/tokyo/city_131211/6421,
3475,有限会社折井鈑金工業所,123-0864,東京都足立区鹿浜６−２０−３,折井 健,40,https://tsukulink.net/tokyo/city_131211/13278,
3476,有限会社匠創,121-0076,東京都足立区平野３−１７−２０,吉田 孝一,40,https://tsukulink.net/tokyo/city_131211/12944,
3477,有限会社布川工務店,121-0063,東京都足立区東保木間２−２９−２,布川 勝宣,40,https://tsukulink.net/tokyo/city_131211/13891,
3478,有限会社あさひ住設風呂センター,121-0075,東京都足立区一ツ家２−２０−１０,白鳥 晴義,40,https://tsukulink.net/tokyo/city_131211/11405,
3479,常総工業株式会社,121-0062,東京都足立区南花畑３−４−１３,渡邉 好江,40,https://tsukulink.net/tokyo/city_131211/8872,
3480,株式会社オート工業,120-0031,東京都足立区千住大川町４９−２,谷村 等,40,https://tsukulink.net/tokyo/city_131211/2947,
3481,株式会社タケイチ,123-0851,東京都足立区梅田７−１６−３,金子 芳政,40,https://tsukulink.net/tokyo/city_131211/3517,
3482,株式会社臼倉住建,120-0003,東京都足立区東和３−３−３,臼倉 政二,40,https://tsukulink.net/tokyo/city_131211/4508,
3483,有限会社飯塚板金工業,121-0076,東京都足立区平野１−４−１４,飯塚 吉昭,40,https://tsukulink.net/tokyo/city_131211/13848,
3484,株式会社熊谷軌道,120-0034,東京都足立区千住５ー２８ー１,宮本 茂実,40,https://tsukulink.net/tokyo/city_131211/4938,
3485,株式会社やすらぎホームズ,121-0836,東京都足立区入谷２−１０−１５,遠藤 誠司,40,https://tsukulink.net/tokyo/city_131211/4201,
3486,株式会社セスコ,121-0801,東京都足立区東伊興１−１６−６,新島 清志,40,https://tsukulink.net/tokyo/city_131211/3438,
3487,株式会社岩間工務店,120-0013,東京都足立区弘道２−２７−２,岩間 哲也,40,https://tsukulink.net/tokyo/city_131211/4739,
3488,株式会社鋼建工業,121-0073,東京都足立区六町４−２−７,秋山 十三,40,https://tsukulink.net/tokyo/city_131211/5110,
3489,株式会社ワールドアンカー,123-0851,東京都足立区梅田５−６−１５,塩野 欣一,40,https://tsukulink.net/tokyo/city_131211/4382,
3490,株式会社小久保興業,120-0001,東京都足立区大谷田５−３１−１５,小久保 一男,40,https://tsukulink.net/tokyo/city_131211/5566,
3491,有限会社新日地エンジニアリング,123-0852,東京都足立区関原２−４２−８,片野 春明,40,https://tsukulink.net/tokyo/city_131211/13113,
3492,株式会社荷峰堂,123-0864,東京都足立区鹿浜３−１９−１６,吉弘 隆,40,https://tsukulink.net/tokyo/city_131211/4628,
3493,有限会社タカミ工業,121-0812,東京都足立区西保木間２−４−１６,白戸 孝雄,40,https://tsukulink.net/tokyo/city_131211/11785,
3494,有限会社大勇工務店,123-0853,東京都足立区本木１−２１−１０,田中 勇,40,https://tsukulink.net/tokyo/city_131211/13477,
3495,有限会社渡辺土木,123-0844,東京都足立区興野２−３０−３０,渡辺 左武郎,40,https://tsukulink.net/tokyo/city_131211/13659,
3496,有限会社中建工業,120-0003,東京都足立区東和４−１４−１６,中村 範男,40,https://tsukulink.net/tokyo/city_131211/13534,
3497,株式会社山陽工業,121-0813,東京都足立区竹の塚６−２５−３０,山本 卓司,40,https://tsukulink.net/tokyo/city_131211/5435,
3498,有限会社野口興業,123-0865,東京都足立区新田３−２２−１３,野口 冨次郎,40,https://tsukulink.net/tokyo/city_131211/14019,
3499,株式会社金子機工,123-0841,東京都足立区西新井３−１１−１１,金子 重元,40,https://tsukulink.net/tokyo/city_131211/4913,
3500,株式会社丸通東工務店,121-0073,東京都足立区六町４−５−５,清水 佐智夫,40,https://tsukulink.net/tokyo/city_131211/4715,
3501,平和工材株式会社,123-0853,東京都足立区本木１−１７−８,佐藤 充志,40,https://tsukulink.net/tokyo/city_131211/11053,
3502,高田土建株式会社,120-0006,東京都足立区谷中１−１７−１,青木 秀利,40,https://tsukulink.net/tokyo/city_131211/7985,
3503,有限会社星ハウジング,120-0022,東京都足立区柳原２−９−４,星 和良,40,https://tsukulink.net/tokyo/city_131211/13185,
3504,鳳光相澤建設株式会社,121-0814,東京都足立区六月２−７−６,相澤 眞次,40,https://tsukulink.net/tokyo/city_131211/11128,
3505,株式会社恵信工業,123-0845,東京都足立区西新井本町５−４−５,林 義信,40,https://tsukulink.net/tokyo/city_131211/4953,
3506,有限会社創和設備,120-0012,東京都足立区青井３−１８−１８,佐藤 仁之,40,https://tsukulink.net/tokyo/city_131211/13335,
3507,株式会社ツチヤタイル,121-0062,東京都足立区南花畑２−３１−１７,土屋 敏明,40,https://tsukulink.net/tokyo/city_131211/3552,
3508,有限会社山田鋼業,121-0064,東京都足立区保木間３−３６−１２,山田 和子,40,https://tsukulink.net/tokyo/city_131211/12819,
3509,有限会社小宮山工務店,123-0873,東京都足立区扇１−４７−２２,小宮山 輝治,40,https://tsukulink.net/tokyo/city_131211/12954,
3510,有限会社山哲建設,123-0851,東京都足立区梅田２−１９−１３,山口 一,40,https://tsukulink.net/tokyo/city_131211/12814,
3511,有限会社友修建総,120-0033,東京都足立区千住寿町２１−９,宮下 孝治,40,https://tsukulink.net/tokyo/city_131211/14042,
3512,株式会社島原建設,121-0813,東京都足立区竹の塚１−２７−４,島原 孝,40,https://tsukulink.net/tokyo/city_131211/6604,
3513,株式会社中山工務店,123-0863,東京都足立区谷在家３−２０−８,中山 三夫,40,https://tsukulink.net/tokyo/city_131211/6438,
3514,株式会社萩生田商事,123-0851,東京都足立区梅田５−１２−２,萩生田 浩二,40,https://tsukulink.net/tokyo/city_131211/6886,
3515,有限会社岩脇土木,120-0013,東京都足立区弘道２−５−６,岩脇 勝巳,40,https://tsukulink.net/tokyo/city_131211/12382,
3516,有限会社赤城工務店,120-0005,東京都足立区綾瀬１−２６−２,赤城 豊吉,40,https://tsukulink.net/tokyo/city_131211/13272,
3517,有限会社山十工務店,121-0831,東京都足立区舎人５−１９−１３,鈴木 清信,40,https://tsukulink.net/tokyo/city_131211/12804,
3518,有限会社原田工務店,121-0062,東京都足立区南花畑２−２３−３,原田 忠吉,40,https://tsukulink.net/tokyo/city_131211/12530,
3519,桐杏建設株式会社,120-0012,東京都足立区青井３−１２−１０−１０１,山口 香代,40,https://tsukulink.net/tokyo/city_131211/7674,
3520,株式会社政所板金工業所,121-0051,東京都足立区神明２−１０−２,政所 征二,40,https://tsukulink.net/tokyo/city_131211/5900,
3521,有限会社内山工務店,120-0002,東京都足立区中川３−２１−１３,内山 健,40,https://tsukulink.net/tokyo/city_131211/13770,
3522,晃基建設有限会社,123-0863,東京都足立区谷在家２−２０−８,清水 泰行,40,https://tsukulink.net/tokyo/city_131211/7900,
3523,株式会社泉ポンプ製作所,120-0012,東京都足立区青井２−１５−２８,藤田 晃,40,https://tsukulink.net/tokyo/city_131211/6054,
