,事業所名,郵便番号,住所,代表者,従業員数,ツクリンクURL,Webサイト
160,プライムリンク株式会社,120-0034,東京都足立区千住2丁目27番地FRIEDEN-BERG301,石井 憲一,7,https://tsukulink.net/tokyo/city_131211/860548,
161,株式会社ケーワイ電設,120-0034,東京都足立区千住,江川 豊,11,https://tsukulink.net/tokyo/city_131211/846730,
162,株式会社Interweave,121-0836,東京都足立区入谷7-17-16,江波戸啓之,40,https://tsukulink.net/tokyo/city_131211/819336,
163,松本建設,,,松本 凌,5,https://tsukulink.net/tokyo/city_131211/817356,
164,（有）渡辺冷熱,123-0864,東京都足立区鹿浜４−１７−２１,渡辺 久一,4,https://tsukulink.net/tokyo/city_131211/797207,
165,青山興業,121-0836,東京都東京都足立区入谷4-13-2,青山 雅巳,3,https://tsukulink.net/tokyo/city_131211/783590,
166,荒川管工,,,中江雅幸,4,https://tsukulink.net/tokyo/city_131211/653844,
167,株式会社ステップ・スリー,123-0844,東京都足立区興野2-30-17,宮間 純一,40,https://tsukulink.net/tokyo/city_131211/259644,
168,株式会社ＮＥＸＴ,123-0863,東京都足立区谷在家2-23-5,草地 芳久,40,https://tsukulink.net/tokyo/city_131211/247124,
169,株式会社遥工業,121-0801,東京都足立区東伊興3-10-20,雪下 正彦,6,https://tsukulink.net/tokyo/city_131211/857974,
170,MC興業株式会社,121-0053,東京都足立区佐野2丁目22番22号,佐瀬 昌宏,40,https://tsukulink.net/tokyo/city_131211/663564,
171,（有）小倉電設工業,123-0851,東京都足立区梅田３－１５－３,小倉敏夫,5,https://tsukulink.net/tokyo/city_131211/260221,
172,合同会社E-Select,121-0812,東京都足立区西保木間2-15-21-503,吉岡 仁,1,https://tsukulink.net/tokyo/city_131211/832283,
173,株式会社 梶商会,123-0864,東京都足立区鹿浜5-20-11,梶 光延,,https://tsukulink.net/tokyo/city_131211/743866,
174,株式会社アイチャージ,121-0051,東京都足立区神明3-20-7,山本 将寛,23,https://tsukulink.net/tokyo/city_131211/461770,
175,中京フロン株式会社,121-0812,東京都足立区西保木間3-16-26,,81,https://tsukulink.net/tokyo/city_131211/458792,
176,工藤内装,120-0003,東京都足立区東和2-12-2,工藤 健太,6,https://tsukulink.net/tokyo/city_131211/809457,
177,TAKUMI,,,中島 賢寿,3,https://tsukulink.net/tokyo/city_131211/869368,
178,有限会社 斉藤重機,120-0005,東京都足立区綾瀬3-19-17,斎藤 真一,40,https://tsukulink.net/tokyo/city_131211/264485,
179,横内電気設備株式会社,121-0053,東京都足立区佐野2-9-16-107,横内 裕生,4,https://tsukulink.net/tokyo/city_131211/871377,
180,株式会社インテリア タキモト,123-0864,東京都足立区鹿浜2-25-1-207,嶽本 孝夫,4,https://tsukulink.net/tokyo/city_131211/855469,
181,micono,121-0076,東京都足立区平野2-16-12,住永 大地,1,https://tsukulink.net/tokyo/city_131211/849325,
182,株式会社ジャストテクノサービス,121-0062,東京都足立区南花畑4-31-4,櫻井厚博,17,https://tsukulink.net/tokyo/city_131211/818568,
183,浅野総建,121-0807,東京都足立区伊興本町2-12-24 206A,,2,https://tsukulink.net/tokyo/city_131211/774877,
184,株式会社Volcima,120-0037,東京都足立区千住河原町9‐10‐1305,山﨑典征,2,https://tsukulink.net/tokyo/city_131211/754582,
185,Air-K,121-0813,東京都足立区竹の塚1-40-15 庄栄ビル５Ｆ　ＢＰＴ,,22,https://tsukulink.net/tokyo/city_131211/460168,
186,株式会社アーバンホーム,123-0853,東京都足立区本木2-27-15,木村 民斗,,https://tsukulink.net/tokyo/city_131211/774404,
187,株式会社エーネット,120-0015,東京都足立区足立2-40-16　コムロビル8F,楠 公一,25,https://tsukulink.net/tokyo/city_131211/652674,
188,ラポールクリエイト株式会社,123-0864,東京都足立区鹿浜８丁目６番１０号,荒井秀和,40,https://tsukulink.net/tokyo/city_131211/258777,
189,株式会社 ブルーバードカンパニー,123-0852,東京都足立区関原3-6-17,,6,https://tsukulink.net/tokyo/city_131211/250813,
190,フォレスタ,,,森 健一,1,https://tsukulink.net/tokyo/city_131211/883696,
